env;trial;time;distance;avg_speed;collisions;near_misses;min_obstacle;stuck_seconds
free_roam;1;300.0;189.93;0.633;0;7;0.582;74.3
free_roam;2;300.0;195.73;0.652;0;5;0.628;71.09
free_roam;3;300.0;190.59;0.635;0;6;0.562;75.0
hallway;1;300.0;149.28;0.498;0;23;0.547;139.12
hallway;2;300.0;136.03;0.453;0;21;0.52;162.66
hallway;3;300.0;152.85;0.509;0;20;0.48;137.77
maze;1;300.0;143.4;0.478;0;17;0.501;142.51
maze;2;300.0;133.34;0.444;0;16;0.497;158.02
maze;3;300.0;136.59;0.455;0;11;0.563;152.12

